,Translated_Utterance,Emotion
8992,फिर मुझे ऐसा करने दें!,joy
8993,जो,non-neutral
8994,नहीं!,non-neutral
8995,मैं इसके बारे में सोच रहा हूँ।,neutral
8996,मैं?,neutral
8997,इसलिए मैंने जीता? लोगों के सामने घबराहट की बात नहीं।,neutral
8998,Joey इसे देखना?,non-neutral
8999,No-no-no-no-no-e-no-e-no-e-no-e-no-e-no-e-no-e-no-e-no-e-no-e-e-no-e-no-e-no-e-e-no-e-e-no-e-no-e-e-e-e-e-no-e-e-e-e-e-no-e-e-e-e-e-e-e-no-e-no-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-e-,non-neutral
9000,मैंने जीता??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,non-neutral
9001,क्या?,neutral
9002,हर कोई जानता हूँ कि मैं?,joy
9003,यह सच है।,neutral
9004,"Yeah और सबसे महत्वपूर्ण बात यह है कि यह जीत गया? कुछ की तरह नहीं, वहाँ अजनबी जो मुश्किल से तुम्हें जानता है।",joy
9005,मैं हूँ!,joy
9006,मैं वास्तव में अच्छा काम करूँगा।,joy
9007,"इसके अलावा, y?",joy
9008,हां?,neutral
9009,यह दयालु हो सकता है।,joy
9010,तो मैं इसे कर सकता हूँ?,joy
9011,Ah-ha! Too cocky!,joy
9012,मैं अभी भी कर सकता हूँ? आप मुझे अपने साथ भरोसा करते हैं।,non-neutral
9013,बेशक मैं क्या करता हूँ! और मैं?,neutral
9014,वह क्या है?,non-neutral
9015,Whoa! Whoa! Whoa! क्या आप कर रहे हैं?,surprise
9016,आपने कहा कि यहाँ में गैस रिसाव था।,neutral
9017,क्यों?,neutral
9018,क्योंकि उस समय तक मुझे यह पता चलता है कि पूरी जगह विस्फोट हो सकती है।,neutral
9019,"यदि ऐसा होता है कि मैं प्रबंधन करता हूँ, तो लोग प्रश्न पूछते हैं।",neutral
9020,आओ!,anger
9021,जल्दी उठो।,non-neutral
9022,ओह! हम ऐसा कर सकते हैं।,neutral
9023,"सौभाग्य से, वह आदमी जिसके लिए वह बस सकता है? क्या तुम? के बारे में बात कर रहे हैं?",neutral
9024,"ओह, मैं?",sadness
9025,क्या मैं गलत हूँ?,non-neutral
9026,मैं फिर से उसके साथ जाना चाहता हूँ?,neutral
9027,आप मानते हैं कि यह लड़का किसी और के लिए destined है और तुम?,surprise
9028,"ठीक है, वह मेरी आत्मा दोस्त नहीं हो सकता है, लेकिन एक लड़की?",neutral
9029,(इसके साथ चलना),neutral
9030,क्या है?,non-neutral
9031,"ओह, लेकिन यह? उसे इतना खुश कर दिया।",non-neutral
9032,छोटी लड़की अपनी बिल्ली को याद करती है।,neutral
9033,पागल महिला सोचती है कि उसकी मां एक बिल्ली में है।,non-neutral
9034,"ठीक है, मैं जानता हूँ कि मुझे अपने बेटे के साथ डिनर करना है, मैं विश्वास कर सकता हूं कि जब आप पाहोबे देखते हैं, तो आप उसे बता देंगे।",neutral
9035,हाँ।,neutral
9036,धन्यवाद।,neutral
9037,I,neutral
9038,वह सही है?,non-neutral
9039,"क्या, मुझे लगता है कि यह गलत है?",neutral
9040,क्या आप सोचते हैं?,surprise
9041,"ओह-नहीं, वह?",neutral
9042,सात सौ रुपये!,joy
9043,तुमने ऐसा किया! क्या हमारे पास कोई फल है?,joy
9044,"आदमी, दो सप्ताह के hell, huh? क्या, हालांकि? मुझे लगता है कि मैंने कुछ सीखा।",non-neutral
9045,"वास्तव में? इसलिए, आप इस 'यह सब उसके लिए है' चीज़ के साथ चिपके रहते हैं?",neutral
9046,"क्या आप पागल हैं? जब एक अंधे आदमी अपनी दृष्टि वापस हो जाता है, तो क्या वह इस तरह घूमता है?",disgust
9047,ओह,neutral
9048,ये जानते हैं कि वे भारत में एक विनम्रता हैं।,neutral
9049,मुझे भी।,neutral
9050,"हालांकि यह शहर मेरा घर है, इसलिए।",neutral
9051,"इसलिए कि? मैंने क्या कहा, क्या? मुझे नहीं बताया?",neutral
9052,"Umm, आप कुछ बना सकते हैं।",neutral
9053,"अच्छा, धन्यवाद।",joy
9054,यह मेरा है।,neutral
9055,यहाँ,neutral
9056,आपकी आंखें बहुत सुंदर हैं।,non-neutral
9057,बहुत धन्यवाद! ओह! धन्यवाद!,joy
9058,वह आपको चुम्बन करना चाहता था।,neutral
9059,"ठीक है, तुम क्या करते हो?",neutral
9060,कोई नहीं!,non-neutral
9061,"नहीं, तुम क्या करते हो?",surprise
9062,ठीक उसी क्षण?,neutral
9063,ओह,neutral
9064,Oy!,non-neutral
9065,"हे! एक मिनट पर पकड़ो, एक सेकंड पर पकड़ो। क्या आपको लगता है कि ये मोती अच्छे हैं?",non-neutral
9066,मैं?,neutral
9067,"Janice? जन्मदिन आ रहा है, मैं उसे कुछ speacial प्राप्त करना चाहता हूं। मेरे साथ यहाँ आओ।",neutral
9068,"Whoa, whoa, whoa, इंतज़ार, whoa.",surprise
9069,"क्या तुम आह, उसे कुछ speacial प्राप्त करना चाहते हैं, उसे फूल प्राप्त करें, उसे कैंडी प्राप्त करें, उसे गम प्राप्त करें, लड़कियों को गम से प्यार है।",non-neutral
9070,"यही कारण है कि? एक अच्छा विचार, डरावना जैनिस एक हबबा-बब्बा जन्मदिन है? मैं उसे कुछ गंभीर रूप से मिलना चाहूंगा।",disgust
9071,"ओह, आप कुछ गंभीर चाहते हैं।",neutral
9072,"Y'know what you should do, तुम उसे उन उम, बेरियम एनीमा में से एक मिल जाना चाहिए।",neutral
9073,वे गंभीर हैं।,neutral
9074,"ठीक है। देखो, मैं? मैं यहाँ जाना चाहता हूँ, और तुम मुझे कुछ भी खरीद नहीं?",non-neutral
9075,"नहीं, आप क्या कर सकते हैं?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????",fear
9076,क्यों नहीं?,surprise
9077,"हे भगवान। उह, ठीक, यहाँ?",neutral
9078,क्या बात है?,non-neutral
9079,"ओके मैं अपने पूर्व पति को चूमने वाले ""मैट्रेस किंग"" शोरूम में गया और मैंने जेनिस को देखा।",non-neutral
9080,क्या?,surprise
9081,वे अपने कार्यालय में थे।,non-neutral
9082,वह क्या करती थी?,sadness
9083,ठीक,non-neutral
9084,मैं तुम्हें बता रहा हूँ?,non-neutral
9085,तुम? माँ और पिताजी मां बनने वाले हैं! शायद मैं?,surprise
9086,क्या है? यहाँ सही! क्या हम यहाँ पर कुछ प्राप्त कर सकते हैं? वहाँ हम जाते हैं।,joy
9087,हे! क्या वे केक कबाब हैं? क्या मुझे नहीं पता था कि कब और कब केक तैयार थे?,non-neutral
9088,आप कैसे महसूस कर रहे हैं?,neutral
9089,आप,neutral
9090,मैं वास्तव में चाहता हूँ कि आप क्या करेंगे?,non-neutral
9091,"अब आपको क्या करना है, क्या करना है?",neutral
9092,"फिर हम आपको बिस्तर पर रख सकते हैं, ठीक है?",neutral
9093,बस मुस्कुराओ और क्या?,neutral
9094,भाषण! भाषण! चलो??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? हुह?,joy
9095,Feebs!!,non-neutral
9096,क्या आप देखते हैं? हर कोई मुझे देख रहा हूँ! योजना? काम! मैंने अभी तक मेरी सबसे बड़ी कोशिश नहीं की!,joy
9097,भाषण! Monica!,joy
9098,आओ!,joy
9099,आओ! भाषण!,joy
9100,"हे चांदलर, आप क्या कर सकते हैं?",non-neutral
9101,"ओह-हो, मुझे लगता है कि यह अच्छा है।",joy
9102,वैसे आपको शायद इसलिए होना चाहिए क्योंकि यह?,neutral
9103,"ठीक है, जबकि मोनिका और मैं उन लोगों के लिए नृत्य कर रहे थे, पहली बार मैं जानता था कि तुम महिला थे मैं के साथ मेरे सभी नृत्य नाचना चाहता था।",joy
9104,ओह!,non-neutral
9105,ठीक है।,neutral
9106,क्या किया गया?,neutral
9107,$200 एक घंटे के इलेक्ट्रीशियन को पता नहीं था कि यह क्या था।,non-neutral
9108,मेरे पास सात बहुत गंभीर झटके थे।,non-neutral
9109,मैं आधिकारिक तौर पर दे रहा हूँ।,disgust
9110,भगवान धन्यवाद।,joy
9111,"मुझे लगता है कि जॉय सही था, यह कुछ नहीं है।",non-neutral
9112,देखें? मैं? मैं पूरी तरह से इसे कर रहा हूँ। मैंने इसे खो दिया।,non-neutral
9113,क्या आप दो के लिए शहर में कोई सचेत पुरुष नहीं हैं?,non-neutral
9114,उसके पास कोई नहीं है।,neutral
9115,"हाँ, हम दयालु महसूस करते हैं।",non-neutral
9116,मैं विश्वास नहीं कर सकता कि आप ने वाहू को कहा था। मैं भी वाहू नहीं कहूँगा।,disgust
9117,"ओह, वह आ रही है! वह आ रहा है!",joy
9118,जब हम वापस आते हैं तो हम अपनी नई पुस्तक 'यूफोरिया अनबाउंड' के बारे में बात करेंगे: हमेशा दिलचस्प नोरा टायलर बिंग।,neutral
9119,आप इस बात के लिए बच्चों को बिस्तर पर रख सकते हैं।,neutral
9120,"हां, हमें यह देखने की जरूरत नहीं है।",neutral
9121,"कोई रास्ता नहीं, इसे भूल जाओ।",non-neutral
9122,"C'mon, वह आपकी माँ है!",non-neutral
9123,वास्तव में।,neutral
9124,"चांदलर, मैं तुम्हें बताता हूँ, मैं आपकी माँ की किताबों से प्यार करता हूँ!",joy
9125,मैं उसकी किताबें प्यार करता हूँ!,joy
9126,मैं बिना किसी विमान पर नहीं जा सकता!,joy
9127,"मेरा मतलब है, यह इतना शांत है!",joy
9128,"हाँ, अच्छी तरह से, आपको नहीं लगता कि अगर आप ग्यारह साल के हैं तो यह ठंडा था और आपके सभी दोस्त 'मिस्ट्रेस बिच' के पृष्ठ 79 के आसपास गुजर रहे हैं। '",disgust
9129,"C'mon, चांदलर, मैं आपकी माँ से प्यार करता हूँ। मुझे लगता है कि वह एक विस्फोट है।",joy
9130,धन्यवाद।,neutral
9131,और मोनिका के लिए एक अच्छा गर्म साइडर।,neutral
9132,"Aww, धन्यवाद। Uh Rach?",neutral
9133,हाँ?,neutral
9134,क्यों मेरी Cinamon छड़ी एक इरेज़र है?,surprise
9135,ओह! यही कारण है। मुझे क्षमा!,surprise
9136,ओह! Ma'am? मुझे क्षमा करें?,neutral
9137,हाँ?,neutral
9138,आप अपने सिगरेट को पेड़ पर नहीं डाल सकते!,non-neutral
9139,"हाँ मैं कर सकते हैं, यह वास्तव में अच्छी तरह से काम किया।",neutral
9140,"नहीं, लेकिन आपको नहीं करना चाहिए! कभी ऐसा नहीं करना चाहिए।",anger
9141,मैं नहीं हूँ! जब तक मेरे पास मेरा अगला सिगरेट नहीं है।,anger
9142,इसे पकड़ो! एनवाईपीडी! फ्रीज़ पंक!,anger
9143,क्या?,surprise
9144,यह सही है कि आप इतनी व्यस्त हैं। पुस्तक 'em'।,non-neutral
9145,आप कौन क्या बोलते हैं?,surprise
9146,"इसे लाल बचाओ! जब तक आप स्लैमर में रात बिताना चाहते हैं, तब तक आप पेड़ पर माफी मांगते हैं।",disgust
9147,मैं हूँ,neutral
9148,आप अभी पेड़ पर माफी मांगते हैं या मैं बैकअप के लिए बुला रहा हूँ। बैकअप! बैकअप,anger
9149,मुझे माफ़ी! Sorry.,fear
9150,"ठीक है, बैकअप रद्द करें! बैकअप रद्द करें!",neutral
9151,शाह! मुझे यहाँ से बाहर निकलें।,fear
9152,ओह,neutral
9153,रॉस!,surprise
9154,क्या?,neutral
9155,"यहां आओ, इसे देखें!",surprise
9156,क्या? क्या यह धूमकेतु है?,neutral
9157,"नहीं! नहीं देखो, वहाँ?",surprise
9158,"Joey come? मैं क्या कर सकता हूँ? मैं आपको यहां लाने के लिए बिपस्टीन-किंग धूमकेतु, प्रकृति में से एक? सबसे शानदार घटना, और आप सभी के बारे में परवाह करते हैं कि वे टार और कुछ महिला में फंसे बग हैं!",non-neutral
9159,क्या?,neutral
9160,मुझे कहाँ दिखाना?,neutral
9161,यहाँ सही है।,neutral
9162,जोय कहाँ? पाइप है कि दरवाजा खुला रखा गया था?,neutral
9163,"मुझे नहीं पता! हाँ, मैं करता हूँ।",non-neutral
9164,Joey!,anger
9165,क्या? All right? क्या आप मुझे नहीं देख सकते? आप क्या चाहते हैं?,anger
9166,यह? हे! हे! Bapstein एक बहुत अच्छी तरह से सम्मानित खगोलशास्त्री था!,anger
9167,नहीं! नहीं! नहीं!,surprise
9168,वाह! यह जगह अविश्वसनीय है! स्टिंग? s pen that he ने Phoebe को दिया। आओ! गुप्त मार्ग!,joy
9169,हाय!,neutral
9170,हाय!,neutral
9171,मैं?,neutral
9172,उह-हुह,neutral
9173,आपको बेन?,neutral
9174,क्यों मैं यहाँ हूँ?,neutral
9175,नीचे बैठो।,neutral
9176,हाँ।,neutral
9177,ओह रच जो महान है। कि?,joy
9178,कैसे खेल था?,neutral
9179,खैर।,neutral
9180,मैं चाहता हूँ! धन्यवाद! हाँ!,joy
9181,शानदार! मेरे पास एक सवाल है: यह कैसे संभव है?,surprise
9182,Alan.,neutral
9183,वह अविश्वसनीय था।,joy
9184,"वह उस तरह के थे कि बग्स बनी कार्टून जहां बग्स सभी पदों पर खेल रहे हैं, ठीक है, लेकिन बग्स के बजाय यह पहला बेस-अलान, दूसरा बेस-अलान, तीसरा बेस-...",joy
9185,"मेरा मतलब यह था कि यह ऐसा था, जैसे उसने हमें एक टीम में बनाया था।",joy
9186,"येप, हमें यकीन है कि उन हासिडिक ज्वेलर्स को सॉफ्टबॉल के बारे में एक चीज़ या दो दिखाया गया है।",joy
9187,क्या मैं आपसे पूछ सकता हूं? कभी-कभी ऐसा लगता है कि Alan शायद है।,neutral
9188,क्या?,surprise
9189,"..I dunno, थोड़ा भी Alan?",neutral
9190,"खैर, नहीं। यह असंभव है। आप कभी भी एलन नहीं हो सकते।",non-neutral
9191,"Yeah, यह उसकी, उह, अलान-नेस है कि वह है जिसे हम पसंद करते हैं।",non-neutral
9192,मैं व्यक्तिगत रूप से एलन का एक गैलन हो सकता है।,joy
9193,"खैर मैं एक महान समय था! यह जानने के लिए कि कैसे सेंकना है, महान भोजन खाया है, कि? पहला A I? सातवीं कक्षा से मिल गया है,",joy
9194,"ओह, देखो! शुरुआती के लिए अभिनय! अपने बारे में अच्छा महसूस करना चाहते हैं?",non-neutral
9195,क्या होगा?,surprise
9196,ओके,neutral
9197,"सब ठीक है, चलो? कुछ बुनियादी बातों के साथ शुरू करते हैं। क्या कोई मुझे बता सकता है कि अपस्टेज और डाउनस्टेज के बीच क्या अंतर है?",neutral
9198,"हाँ, यह एक शानदार विचार था।",disgust
9199,मेरा परमेश्वर!,surprise
9200,ये पैंट जलते हैं!,surprise
9201,"Oh come on, वह अभी snuggle चाहता है!",surprise
9202,क्या वह मुझे मारने की कोशिश कर रहा है?,non-neutral
9203,यहीं में ज्वालामुखी की तरह है!,surprise
9204,क्या आप गर्म हैं?,neutral
9205,"ठीक है, यह सिर्फ मुझे होना चाहिए।",neutral
9206,"यह सिर्फ सोफे पर पैंट था। Umm, hey, do you, क्या आप अपने बाथरूम का उपयोग करते हैं?",neutral
9207,तुम मेरे साथ पागल हो जाओ!,anger
9208,"ठीक है, मैं रुकूंगा।",neutral
9209,क्या? आगे बढ़ें! रॉस उस शॉट बना सकता है!,non-neutral
9210,"खैर, तुम चूस! लेकिन कम से कम आप अब एक आदमी के खेल में अनुभव करते हैं।",non-neutral
9211,आप चाहते हैं?,neutral
9212,"चांदलर, मैं खेल नहीं खेल सकता, रॉस जल्द ही घर जा रहा है।",neutral
9213,और अगर मैं अपने कार्यक्रम के लिए छड़ी हूँ तो मुझे पांच पूरे पृष्ठ लिखने होंगे।,neutral
9214,"इसलिए, अगले 30 मिनट के लिए खेलते हैं और फिर जब तक वह घर जाता है तब तक लिखते हैं।",neutral
9215,"सब ठीक! लेकिन उह, सुनो, आप क्या कहते हैं?",joy
9216,मैं घुसपैठ कर रहा हूँ।,non-neutral
9217,हम सभी की जरूरत है थोड़ा हल्का तरल पदार्थ है।,neutral
9218,"ठीक है, लेकिन सावधान रहें, क्योंकि मैं अपनी सुरक्षा जमा वापस करना चाहता हूं।",non-neutral
9219,"Yeah, मुझे लगता है कि जब हम हथौड़ा डार्ट्स का आविष्कार करते हैं तो हम उस पर अच्छा लगा।",non-neutral
9220,क्या आपको यह भी याद है कि दीवार का कौन सा हिस्सा चोरी नहीं है?,neutral
9221,"उह हाँ, यहाँ।",neutral
9222,"हे, राच। यह आपके दोस्तों के साथ कैसे था? नमस्ते! आप कुछ तिकी डेथ पंच कैसे पसंद करेंगे?",joy
9223,क्या है?,neutral
9224,"वेएल, यह रम है, और -",neutral
9225,मुझे यकीन है कि वे जल्द ही होंगे।,neutral
9226,"हाँ, शहद, वे इसे याद नहीं करेंगे।",neutral
9227,आराम करो। आप केवल नौ सेंटीमीटर हैं। और बच्चे का शून्य स्टेशन पर।,neutral
9228,आप वास्तव में मुझे डरते हैं।,fear
9229,"कुछ लोग मेरी मदद करते हैं, tryin's my heart. वह महान है। किसी ने भी एक निप्पल देखा?",fear
9230,"सभी सही, दस सेंटीमीटर, यहाँ हम जाते हैं।",neutral
9231,"सभी सही, शहद, पुशिंग शुरू करने के लिए समय।",neutral
9232,लेकिन वे अभी तक नहीं हैं!,fear
9233,"मुझे खेद है, मैं उनके लिए इंतजार करने के लिए बच्चे को नहीं बता सकता।",neutral
9234,"ओह, भगवान।",fear
9235,"यहाँ हम जाते हैं। मोना उम, मुझे लगता है कि यह?",non-neutral
9236,"हाँ, मुझे लगता है कि मैंने सोचा था।",neutral
9237,"Aw, we-we, so umm.",non-neutral
9238,I have a lot of fun.,joy
9239,ओके,neutral
9240,"मेरा मतलब है, वहाँ?",neutral
9241,यह?,non-neutral
9242,यह कहाँ चल रहा है?,neutral
9243,Ah!,surprise
9244,कि?,neutral
9245,और जवाब क्या है?,joy
9246,"अब मुझे पता है कि आप क्या सोच रहे हैं, मज़ा आपके लिए दस साल पहले ठीक था?",neutral
9247,"मैं क्या मतलब नहीं? नहीं, आप नहीं?",fear
9248,मैं?,non-neutral
9249,क्या?,neutral
9250,मैं रात्रिभोज रात्रिभोज के लिए बाहर जाने जा रहा हूँ।,joy
9251,मैंने इस स्थान को पाया जो सबसे बड़ा मोज़ारेला स्टिक्स और जेलेपिनो पॉपर बनाता है।,joy
9252,नहीं?,non-neutral
9253,वास्तव में?,surprise
9254,वे बहुत अच्छे लगते हैं।,joy
9255,ड्रम रोल।,neutral
9256,ओके ठीक है। मदद! मैं एक मार्क या एक जॉन हूँ?,neutral
9257,"नूह, तुम???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????",neutral
9258,क्या मैं गंभीर हूँ? कल 3:30 बजे मैं कोर्टहाउस में जा रहा हूँ।,neutral
9259,आप?,surprise
9260,"हे, लुक, यह नाम मेरे पूरे जीवन को वापस रख रहा है।",non-neutral
9261,"ठीक है, यह? शायद क्यों बच्चों ने मुझे स्कूल में क्यों चुना, और क्यों मैं कभी महिलाओं के साथ अच्छी तरह से क्यों नहीं करता हूं? इसलिए, 4 बजे तक कल, मैं?",neutral
9262,आप की वजह से समस्या हो रही है!,non-neutral
9263,आपका नाम नहीं!,non-neutral
9264,"सब ठीक है, यह रुक गया है!",anger
9265,चांदलर एक महान नाम है!,anger
9266,वास्तव में?,non-neutral
9267,"मुझे पता है कि आप वास्तव में चाहते थे कि मुझे बेबी जॉय नाम देना चाहिए, लेकिन eh, इसलिए, मैं? एम आई? एम, मैं? एम गोना, मैं? एम गोना नाम बच्चे चांदलर।",neutral
9268,शॉन! मुझे लगता है कि वह रोना के रूप में रोमांटिक हो रहा था!,surprise
9269,यह था।,neutral
9270,"देखो, मैंने सिर्फ अपने सबसे अच्छे दोस्त दिमाग को कैनवास पर धब्बा देखा, कि? मुझे नहीं होना चाहिए।",sadness
9271,वाह! यह अच्छा था। ... Tweezers?,surprise
9272,नहीं,neutral
9273,Whoa. यह वास्तव में अच्छा था।,surprise
9274,"धन्यवाद, कोई सुझाव?",neutral
9275,हाय!,non-neutral
9276,You can have sex with Ursula?,surprise
9277,"उह, थोड़ा सा। वह चली गई और मैंने सोचा कि वह तुम थे और मैं उसे चूमती थी और",fear
9278,आपने क्या किया?,surprise
9279,मैं तुम्हें देखने के लिए बहुत उत्साहित था।,non-neutral
9280,ओह! Ew! Ew! Ugh! क्या? यह बहुत अजीब है।,disgust
9281,नहीं?,non-neutral
9282,मैं तुम्हें खोना नहीं चाहता!,fear
9283,"यह??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? हाँ, यह बहुत अजीब है।",non-neutral
9284,इसलिए मुझे लगता है कि यह है।,non-neutral
9285,हाँ। शायद यह? आप उसे पसंद करते हैं।,non-neutral
9286,"हाँ, तो तुम करो।",non-neutral
9287,हे!,joy
9288,नमस्ते।,neutral
9289,"तो, क्या खरीदारी आपको रॉस के बारे में बेहतर महसूस करती है?",neutral
9290,मैनहट्टन के पास पर्याप्त स्टोर नहीं है।,sadness
9291,"खैर,",neutral
9292,आप कर सकते हैं?,surprise
9293,हाँ। मुझे बस रॉस की कुछ तस्वीरें लाने की जरूरत है।,neutral
9294,उम-hmm।,neutral
9295,और चॉकलेट का एक छोटा टुकड़ा।,neutral
9296,ओके,neutral
9297,"ठीक है, हमें बात करना है। मैं?",sadness
9298,"मैं जानता हूँ! मैं? मैं सिर्फ शादी से बाहर हो रहा हूँ, मैं मतलब के बारे में बात करने के लिए!",non-neutral
9299,सही! मुझे लगता है कि यह जल्द ही हो रहा है।,non-neutral
9300,"ओह, बहुत जल्द, बहुत कम। इस समय मैं आपको इस समय दूर नहीं रहने देता हूँ।",non-neutral
9301,"मैं ya सुनता हूँ। लेकिन! दुर्भाग्य से, मेरी कंपनी मुझे विदेश में स्थानांतरित कर रही है!",non-neutral
9302,नहीं! कहाँ? Too Paris?,surprise
9303,"नहीं! नहीं! नहीं, पेरिस",neutral
9304,"Too London? नहीं, रोम? वियना? Ooh-ooh, बार्सिलोना?",joy
9305,"क्या आप एक दूसरे के लिए बात करना बंद कर सकते हैं? यमन। यही है, हाँ, मैं?",non-neutral
9306,कब?,non-neutral
9307,मैं बिल्कुल नहीं जानता हूँ।,neutral
9308,"Ugh, अच्छी तरह से मैं सिर्फ चांदलर बिंग के हर एक बार जब तक कि उस पल आता है भिगोना होगा।",sadness
9309,लेकिन मुझे पता है कि यह कल कुछ समय है।,non-neutral
9310,"ओह, यह है! हे! वह?",joy
9311,महान! उसे प्राप्त करें।,joy
9312,"एक दूसरे की प्रतीक्षा करें, या शायद आप पहले जा सकते हैं।",neutral
9313,वह वास्तव में मेरे प्रकार का नहीं है।,neutral
9314,डॉ. ड्रेक रेमोरे आप उसे सवाल पूछ सकते हैं और उन्हें क्या पसंद है? लोग डॉक्टरों को सब कुछ बताते हैं।,neutral
9315,लेकिन आपने कहा कि वह यह महान आदमी था!,surprise
9316,"लेकिन अंत में सभी लोग मैं पहली बार वास्तव में अच्छा लगता है, तो वे सबसे बड़ी झटके होने के लिए बाहर बारी।",sadness
9317,आप कुछ ठुकराओं को आकर्षित करते हैं।,sadness
9318,चांदलर,neutral
9319,श्रीमती टेडलॉक आज आप सुंदर दिख रहे हैं। मैं कह सकता हूँ कि यह एक है,neutral
9320,"हाँ। खैर, श्री Kostelick चाहते हैं कि आप दिन के अंत में अपने कार्यालय से रुक जाएं।",neutral
9321,"ओह, सुनो।",neutral
9322,"यदि यह उन लोगों के बारे में है, तो मुझे उनके साथ कुछ नहीं करना चाहिए।",neutral
9323,वास्तव में।,non-neutral
9324,बिल्कुल नहीं।,neutral
9325,वास्तव में।,non-neutral
9326,कुछ नहीं,neutral
9327,जब हम एक साथ चलते हैं तो क्या मुझे एक gumball मशीन मिल सकती है?,neutral
9328,बेशक! क्या आप चाहते हैं?,non-neutral
9329,"नहीं जब यह मिठाई की बात आती है, तो वह आश्चर्यजनक रूप से सख्त है।",non-neutral
9330,"हे, क्या आपने उसे बताने का एक तरीका बताया है?",neutral
9331,"नहीं, मैं कोशिश कर रहा हूँ?",non-neutral
9332,"मैं बाहर निकल सकता हूं, ""Joey, मैंने बहुत कुछ किया है"" लेकिन फिर मैं अपनी तंत्रिका खो देता हूं और मैं हमेशा के साथ खत्म हो जाता हूं, ""बाथरूम में""।",sadness
9333,वह सोच सकता है कि मैं बीमार हूँ।,neutral
9334,"मैं वास्तव में राहेल को बताने के लिए हूँ, लेकिन मैं सिर्फ इसे पाने के लिए!",neutral
9335,"हां, अगली बार जब हम उन्हें देखते हैं?",neutral
9336,ओके?,neutral
9337,यही?,neutral
9338,"ओह, इसलिए? क्या आप मुझे हर समय ऑर्डर करते हैं?",non-neutral
9339,बहुत सुंदर।,neutral
9340,ठीक है।,neutral
9341,हे मोनिका!,joy
9342,हाय!,joy
9343,क्या आप बेहतर महसूस करते हैं?,neutral
9344,"Joey, हम आपको बताने के लिए कुछ है।",neutral
9345,हे मेरे परमेश्वर! गर्भवती,surprise
9346,"हाँ, अगर आप वेगास में शादी कर लेते हैं, तो आप?",neutral
9347,आप किस बारे में बात कर रहे हैं? यदि आप वेगास में शादी करते हैं तो आप हर जगह शादी कर सकते हैं।,neutral
9348,वास्तव में?,surprise
9349,हाँ!,neutral
9350,हे मेरे परमेश्वर! Eh! खैर,surprise
9351,"आप देखते हैं कि लड़का? वह अभी क्लासिक्स में है, लेकिन जब तक हम उसे छोड़ देते हैं, तब तक वह फिर से अश्लील हो जाता है।",disgust
9352,वह?,neutral
9353,हाँ।,neutral
9354,मैं इसे याद करता हूँ।,non-neutral
9355,मुझे भी।,non-neutral
9356,"इसलिए, आप एक हैम्बर्गर या कुछ प्राप्त करना चाहते हैं?",neutral
9357,हाँ! हाँ! हाँ! हाँ! ईमेल,joy
9358,"हे, यह? धन्यवाद, y'know, फुटबॉल देखने के बजाय, आप मदद कर सकते हैं।",anger
9359,हम करेंगे।,neutral
9360,"ओके, राहेल, आप सांद्रिक हलकों में मार्शमेललो को रखना चाहते हैं।",neutral
9361,"नहीं,",neutral
9362,हर साल।,neutral
9363,और,neutral
9364,हे! रॉस!,joy
9365,हार्ड मरो,neutral
9366,Yep. क्या आप कहते हैं?,neutral
9367,क्या आप किराए पर?,neutral
9368,मरोड़ते 2,neutral
9369,"Joey, यह है",neutral
9370,"ओह, अच्छी तरह से हम इसे दूसरे समय और इसके बारे में देखते हैं",neutral
9371,"Joey, हम",neutral
9372,और?,neutral
9373,इसे फिर से देखने के लिए? हाँ!,joy
9374,हार्ड मरो,neutral
9375,तुमने क्या किया?,neutral
9376,"हाँ, मुझे सिर्फ उह मिला, योजना मिली।",neutral
9377,"खैर, जॉन मैकक्लोन की योजना थी!",non-neutral
9378,"नहीं, देखें कि जॉय को सब काम करने से पहले मैं यहां से बाहर निकलना चाहता हूं और हर किसी को बिटक बुलाना शुरू कर देता है।",neutral
9379,आप किस बारे में बात कर रहे हैं? बिच।,non-neutral
9380,मुझे पता है कि आप उस ऑपरेशन को उद्देश्य से भूल गए हैं।,non-neutral
9381,"मैं अभी तक यह साबित नहीं कर सकता, लेकिन जब मैं करता हूँ, तो आप हत्या के लिए जेल जाएंगे।",anger
9382,अगर आप मेरे भाई हैं तो मुझे परवाह नहीं है।,disgust
9383,"आपके लिए अच्छा! और हे, मैंने सोचा कि देवोनियन युग में punctuated संतुलन पर आपका पेपर शीर्ष पायदान था!",joy
9384,मेरे सामान के माध्यम से जाना बंद करो!,anger
